Commune_Number,Commune_Name,EPCI_Number,Very_Low_Income_Population_Count,Very_Low_Income_Population_Percent
5012,Baratier,200067742,nd,6.3
5013,Barcillonnette,200067825,nd,8.1
5014,Barret-sur-Méouge,200068765,nd,9.7
5016,La Bâtie-Montsaléon,200068765,nd,9.7
5017,La Bâtie-Neuve,200067320,nd,5.8
5018,La Bâtie-Vieille,200067320,nd,5.8
5019,La Beaume,200067445,nd,7.6
5021,Le Bersac,200068765,nd,9.7
5022,Bréziers,200067320,nd,5.8
5023,Briançon,240500439,nd,7.2
5024,Valdoule,200068765,nd,9.7
5025,Buissard,200068096,nd,5.7
5026,Ceillac,200067452,nd,6.3
5027,Cervières,240500439,nd,7.2
5028,Chabestan,200067445,nd,7.6
5029,Chabottes,200068096,nd,5.7
5031,Champcella,240500462,nd,6.2
5032,Champoléon,200068096,nd,5.7
5033,Chanousse,200068765,nd,9.7
5035,Châteauneuf-d'Oze,200067445,nd,7.6
5036,Châteauroux-les-Alpes,200067742,nd,6.3
5037,Châteauvieux,200067825,nd,8.1
5038,Château-Ville-Vieille,200067452,nd,6.3
5039,Aubessagne,200068096,nd,5.7
5040,Chorges,200067742,nd,6.3
5044,Crévoux,200067742,nd,6.3
5045,Crots,200067742,nd,6.3
5046,Embrun,200067742,nd,6.3
5047,Éourres,200068765,nd,9.7
5048,L'Épine,200068765,nd,9.7
5049,Esparron,200067825,nd,8.1
5050,Espinasses,200067320,nd,5.8
5051,Étoile-Saint-Cyrice,200068765,nd,9.7
5052,Eygliers,200067452,nd,6.3
5053,Garde-Colombe,200068765,nd,9.7
5054,La Fare-en-Champsaur,200068096,nd,5.7
5055,La Faurie,200067445,nd,7.6
5056,Forest-Saint-Julien,200068096,nd,5.7
5057,Fouillouse,200067825,nd,8.1
5058,Freissinières,240500462,nd,6.2
5059,La Freissinouse,200067825,nd,8.1
5060,Furmeyer,200067445,nd,7.6
5061,Gap,200067825,nd,8.1
5062,Le Glaizil,200068096,nd,5.7
5063,La Grave,240500439,nd,7.2
5064,La Chapelle-en-Valgaudémar,200068096,nd,5.7
5065,Guillestre,200067452,nd,6.3
5066,La Haute-Beaume,200067445,nd,7.6
5068,Jarjayes,200067825,nd,8.1
5070,Laragne-Montéglin,200068765,nd,9.7
5071,Lardier-et-Valença,200067825,nd,8.1
5072,Laye,200068096,nd,5.7
5073,Lazer,200068765,nd,9.7
5074,Lettret,200067825,nd,8.1
5075,Manteyer,200067445,nd,7.6
5076,Méreuil,200068765,nd,9.7
5077,Molines-en-Queyras,200067452,nd,6.3
5078,Monêtier-Allemont,200068765,nd,9.7
5079,Le Monêtier-les-Bains,240500439,nd,7.2
5080,Montbrand,200067445,nd,7.6
5081,Montclus,200068765,nd,9.7
5082,Mont-Dauphin,200067452,nd,6.3
5084,Montgardin,200067320,nd,5.8
5085,Montgenèvre,240500439,nd,7.2
5086,Montjay,200068765,nd,9.7
5087,Montmaur,200067445,nd,7.6
5089,Montrond,200068765,nd,9.7
5090,La Motte-en-Champsaur,200068096,nd,5.7
5091,Moydans,200068765,nd,9.7
5092,Neffes,200067825,nd,8.1
5093,Névache,240500439,nd,7.2
5094,Nossage-et-Bénévent,200068765,nd,9.7
5095,Le Noyer,200068096,nd,5.7
5096,Orcières,200068096,nd,5.7
5097,Orpierre,200068765,nd,9.7
5098,Les Orres,200067742,nd,6.3
5099,Oze,200067445,nd,7.6
5100,Pelleautier,200067825,nd,8.1
5101,Vallouise-Pelvoux,240500462,nd,6.2
5102,La Piarre,200068765,nd,9.7
5103,Le Poët,200068765,nd,9.7
5104,Poligny,200068096,nd,5.7
5106,Prunières,200067742,nd,6.3
5107,Puy-Saint-André,240500439,nd,7.2
5108,Puy-Saint-Eusèbe,200067742,nd,6.3
5109,Puy-Saint-Pierre,240500439,nd,7.2
5110,Puy-Saint-Vincent,240500462,nd,6.2
5111,Puy-Sanières,200067742,nd,6.3
5112,Rabou,200067445,nd,7.6
5113,Rambaud,200067320,nd,5.8
5114,Réallon,200067742,nd,6.3
5115,Remollon,200067320,nd,5.8
5116,Réotier,200067452,nd,6.3
5117,Ribeyret,200068765,nd,9.7
5118,Val Buëch-Méouge,200068765,nd,9.7
5119,Risoul,200067452,nd,6.3
5121,Rochebrune,200067320,nd,5.8
5122,La Roche-de-Rame,240500462,nd,6.2
5123,La Roche-des-Arnauds,200067445,nd,7.6
5124,La Rochette,200067320,nd,5.8
5126,Rosans,200068765,nd,9.7
5127,Rousset,200067320,nd,5.8
5128,Saint-André-d'Embrun,200067742,nd,6.3
5129,Saint-André-de-Rosans,200068765,nd,9.7
5130,Saint-Apollinaire,200067742,nd,6.3
5131,Saint-Auban-d'Oze,200067445,nd,7.6
5132,Saint-Bonnet-en-Champsaur,200068096,nd,5.7
5133,Saint-Chaffrey,240500439,nd,7.2
5134,Saint-Clément-sur-Durance,200067452,nd,6.3
5135,Sainte-Colombe,200068765,nd,9.7
5136,Saint-Crépin,200067452,nd,6.3
5139,Dévoluy,200067445,nd,7.6
5140,Saint-Étienne-le-Laus,200067320,nd,5.8
5142,Saint-Firmin,200068096,nd,5.7
5144,Saint-Jacques-en-Valgodemard,200068096,nd,5.7
5145,Saint-Jean-Saint-Nicolas,200068096,nd,5.7
5146,Saint-Julien-en-Beauchêne,200067445,nd,7.6
5147,Saint-Julien-en-Champsaur,200068096,nd,5.7
5148,Saint-Laurent-du-Cros,200068096,nd,5.7
5149,Saint-Léger-les-Mélèzes,200068096,nd,5.7
5151,Saint-Martin-de-Queyrières,240500462,nd,6.2
5152,Saint-Maurice-en-Valgodemard,200068096,nd,5.7
5153,Saint-Michel-de-Chaillol,200068096,nd,5.7
5154,Saint-Pierre-d'Argençon,200067445,nd,7.6
5155,Saint-Pierre-Avez,200068765,nd,9.7
5156,Saint-Sauveur,200067742,nd,6.3
5157,Saint-Véran,200067452,nd,6.3
5158,Le Saix,200067445,nd,7.6
5159,Saléon,200068765,nd,9.7
5160,Salérans,200068765,nd,9.7
5161,La Salle-les-Alpes,240500439,nd,7.2
5162,La Saulce,200067825,nd,8.1
5163,Le Sauze-du-Lac,200067742,nd,6.3
5164,Savines-le-Lac,200067742,nd,6.3
5165,Savournon,200068765,nd,9.7
5166,Serres,200068765,nd,9.7
5167,Sigottier,200068765,nd,9.7
5168,Sigoyer,200067825,nd,8.1
5169,Sorbiers,200068765,nd,9.7
5170,Tallard,200067825,nd,8.1
5171,Théus,200067320,nd,5.8
5172,Trescléoux,200068765,nd,9.7
5173,Upaix,200068765,nd,9.7
5174,Val-des-Prés,240500439,nd,7.2
5176,Valserres,200067320,nd,5.8
5177,Vars,200067452,nd,6.3
5178,Ventavon,200068765,nd,9.7
5179,Veynes,200067445,nd,7.6
5180,Les Vigneaux,240500462,nd,6.2
5181,Villar-d'Arêne,240500439,nd,7.2
5182,Villar-Loubière,200068096,nd,5.7
5183,Villar-Saint-Pancrace,240500439,nd,7.2
5184,Vitrolles,200067825,nd,8.1
6001,Aiglun,200039931,nd,10.2
6002,Amirat,200039857,nd,7.3
